image_path,merchant,ds,location,y,items,category,text,year,month,day,weekday,hour
F:\ai\ocr_recognition\dataset\train\images\en_1060.jpg,GUEST CHECK Butcher Boy Pte Ltd Emily-04/06/21 08:56PM TABLE:Out1 Dish/Set Menu Amount $12.00 1xChocolate Textures 1x lberico Pork Belly $32.00 $35.00 1xCrispy Chicken SubTotal $ 79.00 SVC $7.90 TOTAL $86.90 Thankyou!,2021-04-06 20:56:00,,86.9,/06/21 08:56PM TABLE:Out1 Dish/Set Menu Amount; Chocolate Textures 1x lberico Pork Belly; 1xCrispy Chicken SubTotal $; TOTAL,餐饮,GUEST CHECK Butcher Boy Pte Ltd Emily-04/06/21 08:56PM TABLE:Out1 Dish/Set Menu Amount $12.00 1xChocolate Textures 1x lberico Pork Belly $32.00 $35.00 1xCrispy Chicken SubTotal $ 79.00 SVC $7.90 TOTAL $86.90 Thankyou!,2021,4,6,1,20
F:\ai\ocr_recognition\dataset\train\images\en_1061.jpg,GUEST CHECK Butcher Boy Pte Ltd Emily-09/15/21 08:51PM TABLE:Out1 Dish/Set Menu Amount $6.00 1 x Crispy Fish Skin $21.00 1 x Steam pot chicken $ 27.00 SubTotal $2.70 SVC $29.70 TOTAL Thankyou!,2021-09-15 20:51:00,,2.7,/15/21 08:51PM TABLE:Out1 Dish/Set Menu Amount; x Crispy Fish Skin; x Steam pot chicken $; SVC,餐饮,GUEST CHECK Butcher Boy Pte Ltd Emily-09/15/21 08:51PM TABLE:Out1 Dish/Set Menu Amount $6.00 1 x Crispy Fish Skin $21.00 1 x Steam pot chicken $ 27.00 SubTotal $2.70 SVC $29.70 TOTAL Thankyou!,2021,9,15,2,20
F:\ai\ocr_recognition\dataset\train\images\en_1063.jpg,"@ # 2 GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore089138 Emily-08/19/21 08:29PM TABLE:Out1 Dish/Set Menu Amount 1xPaoruda $12.00 1xSteam pot chicken $21.00 SubTotal $33.00 $3.30 SVC $36.30 TOTAL Thankyou!",2021-08-19 20:29:00,,33.0,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore089138 Emily-08/19/21 08:29PM TABLE:Out1 Dish/Set Menu Amount 1xPaoruda; Steam pot chicken",餐饮,"@ # 2 GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore089138 Emily-08/19/21 08:29PM TABLE:Out1 Dish/Set Menu Amount 1xPaoruda $12.00 1xSteam pot chicken $21.00 SubTotal $33.00 $3.30 SVC $36.30 TOTAL Thankyou!",2021,8,19,3,20
F:\ai\ocr_recognition\dataset\train\images\en_1064.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-02/24/21 06:21PM TABLE:Out1 Dish/Set Menu Amount 1x lberico Pork Belly $32.00 1x Cuttlefish roll $15.00 SubTotal $47.00 SVC $4.70 TOTAL $51.70 Thankyou!",2021-02-24 18:21:00,,47.0,Emily-02/24/21 06:21PM TABLE:Out1 Dish/Set Menu Amount 1x lberico Pork Belly; Cuttlefish roll; SVC,餐饮,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-02/24/21 06:21PM TABLE:Out1 Dish/Set Menu Amount 1x lberico Pork Belly $32.00 1x Cuttlefish roll $15.00 SubTotal $47.00 SVC $4.70 TOTAL $51.70 Thankyou!",2021,2,24,2,18
F:\ai\ocr_recognition\dataset\train\images\en_1065.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-04/27/21 08:58PM TABLE:Out1 Dish/Set Menu Amount 1xCrispy Chicken $35.00 1x lberico Pork Belly $32.00 1x Duck Banh Mi $18.00 SubTotal $85.00 SVC $8.50 TOTAL $ 93.50 Thankyou!",2021-04-27 20:58:00,,85.0,Emily-04/27/21 08:58PM TABLE:Out1 Dish/Set Menu Amount 1xCrispy Chicken; lberico Pork Belly; Duck Banh Mi; SVC,餐饮,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-04/27/21 08:58PM TABLE:Out1 Dish/Set Menu Amount 1xCrispy Chicken $35.00 1x lberico Pork Belly $32.00 1x Duck Banh Mi $18.00 SubTotal $85.00 SVC $8.50 TOTAL $ 93.50 Thankyou!",2021,4,27,1,20
F:\ai\ocr_recognition\dataset\train\images\en_1066.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-07/07/21 06:01PM TABLE:Out1 Dish/Set Menu Amount $12.00 1xPaoruda 1x lberico PorkBelly $32.00 1x Steam pot chicken $21.00 $65.00 SubTotal $6.50 SVC $71.50 TOTAL Thankyou!",2021-07-07 18:01:00,,6.5,Emily-07/07/21 06:01PM TABLE:Out1 Dish/Set Menu Amount; Paoruda 1x lberico PorkBelly; Steam pot chicken; SubTotal,餐饮,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-07/07/21 06:01PM TABLE:Out1 Dish/Set Menu Amount $12.00 1xPaoruda 1x lberico PorkBelly $32.00 1x Steam pot chicken $21.00 $65.00 SubTotal $6.50 SVC $71.50 TOTAL Thankyou!",2021,7,7,2,18
F:\ai\ocr_recognition\dataset\train\images\en_1067.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,ingapore089138 Emily-06/09/21 06:15PM TABLE:Out1 Dish/Set Menu Amount 1xSteam pot chicken $ 21.00 1x Crispy Fish Skin $ 6.00 1x Chocolate Textures $ 12.00 SubTotal $39.00 SVC $3.90 TOTAY Thankyou!",2021-06-09 18:15:00,,39.0,Emily-06/09/21 06:15PM TABLE:Out1 Dish/Set Menu Amount 1xSteam pot chicken $; Crispy Fish Skin $; Chocolate Textures $; SVC,餐饮,"GUEST CHECK Butcher Boy Pte Ltd Singapore,ingapore089138 Emily-06/09/21 06:15PM TABLE:Out1 Dish/Set Menu Amount 1xSteam pot chicken $ 21.00 1x Crispy Fish Skin $ 6.00 1x Chocolate Textures $ 12.00 SubTotal $39.00 SVC $3.90 TOTAY Thankyou!",2021,6,9,2,18
F:\ai\ocr_recognition\dataset\train\images\en_1068.jpg,"Alt PgDn GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-12/21/21 06:58PM TABLE:Out1 Dish/Set Menu Amount 1 x Chocolate Textures $12.00 1x lberico Pork Belly $32.00 SubTotal $44.00 SVC $4.40 NVIDIA TOTAL $48.40 GEFORCE Thankyou!",2021-12-21 18:58:00,,44.0,Emily-12/21/21 06:58PM TABLE:Out1 Dish/Set Menu Amount 1 x Chocolate Textures; lberico Pork Belly; SVC,其他,"Alt PgDn GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-12/21/21 06:58PM TABLE:Out1 Dish/Set Menu Amount 1 x Chocolate Textures $12.00 1x lberico Pork Belly $32.00 SubTotal $44.00 SVC $4.40 NVIDIA TOTAL $48.40 GEFORCE Thankyou!",2021,12,21,1,18
F:\ai\ocr_recognition\dataset\train\images\en_1069.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-05/01/21 08:03PM TABLE:Out1 Dish/Set tMenu Amount 1xCrispy Chicken $35.00 1x Cuttlefish roll $ 15.00 1x Duck Banh Mi $ 18.00 SubTotal $68.00 SVC $6.80 TOTAL $ 74.80 Thankyou!",2021-05-01 20:03:00,,68.0,Emily-05/01/21 08:03PM TABLE:Out1 Dish/Set tMenu Amount 1xCrispy Chicken; Cuttlefish roll $; Duck Banh Mi $; SVC,餐饮,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-05/01/21 08:03PM TABLE:Out1 Dish/Set tMenu Amount 1xCrispy Chicken $35.00 1x Cuttlefish roll $ 15.00 1x Duck Banh Mi $ 18.00 SubTotal $68.00 SVC $6.80 TOTAL $ 74.80 Thankyou!",2021,5,1,5,20
F:\ai\ocr_recognition\dataset\train\images\en_1070.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore089138 Emily-07/12/21 06:14PM TABLE:Out1 Dish/Set Menu Amount 1xPaoruda $12.00 1x Duck Banh Mi $18.00 1x Chocolate Textures $12.00 SubTotal $42.00 SVC $4.20 TOTAL $46.20 Thankyou!",2021-07-12 18:14:00,,42.0,Emily-07/12/21 06:14PM TABLE:Out1 Dish/Set Menu Amount 1xPaoruda; Duck Banh Mi; Chocolate Textures; SVC,其他,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore089138 Emily-07/12/21 06:14PM TABLE:Out1 Dish/Set Menu Amount 1xPaoruda $12.00 1x Duck Banh Mi $18.00 1x Chocolate Textures $12.00 SubTotal $42.00 SVC $4.20 TOTAL $46.20 Thankyou!",2021,7,12,0,18
F:\ai\ocr_recognition\dataset\train\images\en_1073.jpg,GUEST CHECK Butcher Boy Pte Ltd Singaporengapore08918 Emily-07/24/21 06:29PM TABLE:Out1 Dish/Set Menu Amount 1xPaoruda $12.00 1xDuck Banh Mi $18.00 SubTotal $30.00 SVC $3.00 TOTAL $33.00 Thankyou!,2021-07-24 18:29:00,,30.0,Emily-07/24/21 06:29PM TABLE:Out1 Dish/Set Menu Amount 1xPaoruda; Duck Banh Mi; SVC,餐饮,GUEST CHECK Butcher Boy Pte Ltd Singaporengapore08918 Emily-07/24/21 06:29PM TABLE:Out1 Dish/Set Menu Amount 1xPaoruda $12.00 1xDuck Banh Mi $18.00 SubTotal $30.00 SVC $3.00 TOTAL $33.00 Thankyou!,2021,7,24,5,18
F:\ai\ocr_recognition\dataset\train\images\en_1074.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-05/16/21 08:56PM TABLE:Out1 Dish/Set Menu Amount 1xSteam pot chicken $21.00 1x Cuttlefish roll $15.00 1xDuck Banh Mi $18.00 SubTotal $54.00 SVC $5.40 TOTAL $59.40 Thankyou!",2021-05-16 20:56:00,,54.0,Emily-05/16/21 08:56PM TABLE:Out1 Dish/Set Menu Amount 1xSteam pot chicken; Cuttlefish roll; Duck Banh Mi; SVC,餐饮,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-05/16/21 08:56PM TABLE:Out1 Dish/Set Menu Amount 1xSteam pot chicken $21.00 1x Cuttlefish roll $15.00 1xDuck Banh Mi $18.00 SubTotal $54.00 SVC $5.40 TOTAL $59.40 Thankyou!",2021,5,16,6,20
F:\ai\ocr_recognition\dataset\train\images\en_1076.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-04/19/21 08:15PM TABLE:Out1 Dish/Set Menu Amount 1xCuttlefish roll $15.00 1x lberico Pork Belly $32.00 1xDuck Banh Mi $18.00 SubTotal $65.00 $6.50 SVC $71.50 TOTAL Thankyou!",2021-04-19 20:15:00,,65.0,Emily-04/19/21 08:15PM TABLE:Out1 Dish/Set Menu Amount 1xCuttlefish roll; lberico Pork Belly; Duck Banh Mi,其他,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-04/19/21 08:15PM TABLE:Out1 Dish/Set Menu Amount 1xCuttlefish roll $15.00 1x lberico Pork Belly $32.00 1xDuck Banh Mi $18.00 SubTotal $65.00 $6.50 SVC $71.50 TOTAL Thankyou!",2021,4,19,0,20
F:\ai\ocr_recognition\dataset\train\images\en_1170.jpg,"CARE RITE PHARMACY SUNRISE,FL Lomita CA ***COPY RECEIPT***** CLERK Description Qtr Rate Amount ephedrine16.56.5 carbetapentane 1 77 TAX:$0.00 TOTAL $13.50 06/06/2018 22:23 **COPY REECIPPT***** THANK YOU",2018-06-06 22:23:00,,13.5,carbetapentane 1 77 TAX:,医药,"CARE RITE PHARMACY SUNRISE,FL Lomita CA ***COPY RECEIPT***** CLERK Description Qtr Rate Amount ephedrine16.56.5 carbetapentane 1 77 TAX:$0.00 TOTAL $13.50 06/06/2018 22:23 **COPY REECIPPT***** THANK YOU",2018,6,6,2,22
F:\ai\ocr_recognition\dataset\train\images\en_1174.jpg,"CARE RITE PHARMACY SUNRISE,FL Lomita CA CLERK Description Qtr Rate Amount somedon 4 3.5 14 TAX:S0.00 TOTAL $14.00 11/26/2018 06:03 **COPYREECIPPT***** THANK YOU",2018-11-26 06:03:00,,14.0,3.5 14 TAX:S,医药,"CARE RITE PHARMACY SUNRISE,FL Lomita CA CLERK Description Qtr Rate Amount somedon 4 3.5 14 TAX:S0.00 TOTAL $14.00 11/26/2018 06:03 **COPYREECIPPT***** THANK YOU",2018,11,26,0,6
F:\ai\ocr_recognition\dataset\train\images\en_1179.jpg,"CARE RITE PHARMACY SUNRISE,FL Lomita，CA ***COPY RECEIPT*****CLERK Description Qtr Rate Amount brown mixture 177 indomethacin 1 4.5 4.5 TAX:S0.00 TOTAL $11.50 08/25/2018 15:06 **COPY REECIPPT** THANK YOU",2018-08-25 15:06:00,,11.5,indomethacin 1 4.5 4.5 TAX:S,医药,"CARE RITE PHARMACY SUNRISE,FL Lomita，CA ***COPY RECEIPT*****CLERK Description Qtr Rate Amount brown mixture 177 indomethacin 1 4.5 4.5 TAX:S0.00 TOTAL $11.50 08/25/2018 15:06 **COPY REECIPPT** THANK YOU",2018,8,25,5,15
F:\ai\ocr_recognition\dataset\train\images\en_1285.jpg,"ONE BOWL 101JALANSULTAN,THESULTANHOTE 03/16/2022 12:13 Waiter:CASHIER 01 porkwith Sichuan $9.00 1 cabbage soup 1 saute pork in hot sauce $16.00 saute chops with $18.00 1 sweet&soursauce saute cabbage&pepper $7.00 1 insweet&sour sauce stwed beancurd with 1 minced pork in pepper $8.00 sauce TOTAL $58.00 Thank you & see you again soon!",2022-03-16 12:13:00,,58.0,"JALANSULTAN,THESULTANHOTE 03/16/2022 12:13 Waiter:CASHIER 01 porkwith Sichuan; cabbage soup 1 saute pork in hot sauce; 1 sweet&soursauce saute cabbage&pepper; insweet&sour sauce stwed beancurd with 1 minced pork in pepper",其他,"ONE BOWL 101JALANSULTAN,THESULTANHOTE 03/16/2022 12:13 Waiter:CASHIER 01 porkwith Sichuan $9.00 1 cabbage soup 1 saute pork in hot sauce $16.00 saute chops with $18.00 1 sweet&soursauce saute cabbage&pepper $7.00 1 insweet&sour sauce stwed beancurd with 1 minced pork in pepper $8.00 sauce TOTAL $58.00 Thank you & see you again soon!",2022,3,16,2,12
F:\ai\ocr_recognition\dataset\train\images\en_1286.jpg,"ONE BOWL 101JALANSULTAN,THESULTANHOTEL 03/28/2022 11:29 Waiter:CASHIER 01 saute porkin hot sauce $16.00 saute chops with $18.00 sweet&soursauce instant boiled sliced $32.00 mutton TOTAL $66.00",2022-03-28 11:29:00,,66.0,"JALANSULTAN,THESULTANHOTEL 03/28/2022 11:29 Waiter:CASHIER 01 saute porkin hot sauce; sweet&soursauce instant boiled sliced",其他,"ONE BOWL 101JALANSULTAN,THESULTANHOTEL 03/28/2022 11:29 Waiter:CASHIER 01 saute porkin hot sauce $16.00 saute chops with $18.00 sweet&soursauce instant boiled sliced $32.00 mutton TOTAL $66.00",2022,3,28,0,11
F:\ai\ocr_recognition\dataset\train\images\en_1287.jpg,"ONE BOWL 101JALAN SULTAN,THESULTAN HOTEL 03/23/2022 11:49 Waiter:CASHIER01 instant boiled sliced $32.00 mutton saute shredded pork $11.00 witheggs&black fungus pork fillets with $18.00 sweet&soursauce TOTAL $61.00 Thank you & see you again soon!",2022-03-23 11:49:00,,61.0,"JALAN SULTAN,THESULTAN HOTEL 03/23/2022 11:49 Waiter:CASHIER01 instant boiled sliced; witheggs&black fungus pork fillets with",其他,"ONE BOWL 101JALAN SULTAN,THESULTAN HOTEL 03/23/2022 11:49 Waiter:CASHIER01 instant boiled sliced $32.00 mutton saute shredded pork $11.00 witheggs&black fungus pork fillets with $18.00 sweet&soursauce TOTAL $61.00 Thank you & see you again soon!",2022,3,23,2,11
F:\ai\ocr_recognition\dataset\train\images\en_1289.jpg,"ONEBOWL 101JALAN SULTAN,THESULTANHOTEL 03/30/2022 11:25 Waiter:CASHIER 01 fride beancurd with $8.00 slicedpork&pepper saute eggplant with $9.00 fish flavor TOTAL $17.00",2022-03-30 11:25:00,,17.0,"JALAN SULTAN,THESULTANHOTEL 03/30/2022 11:25 Waiter:CASHIER 01 fride beancurd with; fish flavor TOTAL",其他,"ONEBOWL 101JALAN SULTAN,THESULTANHOTEL 03/30/2022 11:25 Waiter:CASHIER 01 fride beancurd with $8.00 slicedpork&pepper saute eggplant with $9.00 fish flavor TOTAL $17.00",2022,3,30,2,11
F:\ai\ocr_recognition\dataset\train\images\en_1291.jpg,"ONE BOWL 101JALAN SULTAN,THESULTAN HOTEL 03/30/2022 11:49 Waiter:CASHIER 01 stwed beancurd with minced pork in pepper $8.00 sauce TOTAL $16.00",2022-03-30 11:49:00,,16.0,"JALAN SULTAN,THESULTAN HOTEL 03/30/2022 11:49 Waiter:CASHIER 01 stwed beancurd with minced pork in pepper",其他,"ONE BOWL 101JALAN SULTAN,THESULTAN HOTEL 03/30/2022 11:49 Waiter:CASHIER 01 stwed beancurd with minced pork in pepper $8.00 sauce TOTAL $16.00",2022,3,30,2,11
F:\ai\ocr_recognition\dataset\train\images\en_1292.jpg,ONEBOWL 03/06/2022 12:12 Waiter:CASHIER 01 saute diced chicken 1 $17.00 with hot peppers saute diced chicken $18.00 with peanuts 1 braised common carp $22.00 saute fish slices with $14.00 1 barnboo shoots 1 instant boiled sliced $32.00 mutton 1 pork fillets with $18.00 sweet&soursauce 1 saute shredded pork $11.00 witheggs&black fungus 1 pork with Sichuan $9.00 cabbage soup 1 saute fish maw slices $12.00 1 saute pork in hot sauce $16.00 saute chops with sweet&soursauce $18.00 fride beancurd with 1 slicedpork&pepper $8.00 1 $7.00 saute eggplant with 1 fish flavor $9.00 sauce $8.00 TOTAL $219.00,2022-03-06 12:12:00,,219.0,/06/2022 12:12 Waiter:CASHIER 01 saute diced chicken 1; with peanuts 1 braised common carp; 1 barnboo shoots 1 instant boiled sliced; pork fillets with; saute shredded pork; pork with Sichuan; saute fish maw slices; saute pork in hot sauce; fride beancurd with 1 slicedpork&pepper; fish flavor; TOTAL,餐饮,ONEBOWL 03/06/2022 12:12 Waiter:CASHIER 01 saute diced chicken 1 $17.00 with hot peppers saute diced chicken $18.00 with peanuts 1 braised common carp $22.00 saute fish slices with $14.00 1 barnboo shoots 1 instant boiled sliced $32.00 mutton 1 pork fillets with $18.00 sweet&soursauce 1 saute shredded pork $11.00 witheggs&black fungus 1 pork with Sichuan $9.00 cabbage soup 1 saute fish maw slices $12.00 1 saute pork in hot sauce $16.00 saute chops with sweet&soursauce $18.00 fride beancurd with 1 slicedpork&pepper $8.00 1 $7.00 saute eggplant with 1 fish flavor $9.00 sauce $8.00 TOTAL $219.00,2022,3,6,6,12
