image_path,text,category
F:\ai\ocr_recognition\dataset\train\images\en_1010.jpg,DOLLAR TREE Store#4931 5499 S Williamson Blvd PRICE TOTAL DESCRIPTION QTY 1 $25.0 S25.0 sling bikini 2 $10.0 $20.0 trunks Total $45.0 We will gladly exchange any unopened item with original receipt. We do not offer refunds. 9119049310404127155400 03/29/2212:11,超市
F:\ai\ocr_recognition\dataset\train\images\en_1011.jpg,DOLLARTREE Store#4931 5499 SWilliamson Blvd. DESCRIPTION QTY PRICE TOTAL rush guard 3 $21.0 $63.0 one-piece 1 $25.0 $25.0 $88.0 Total We will gladly exchange any unopened item with original receipt.We do not offer refunds 9119049310404127155400 03/29/2211:03,其他
F:\ai\ocr_recognition\dataset\train\images\en_1012.jpg,"DOLLAR TREE Store# 4931 5499 S Williamson Blvd, QTY PRICE TOTAL DESCRIPTION wetsuit and dry $21.0 $21.0 suit 1 $10.0 S10.0 fundoshi 1 $25.0 $25.0 monokini $56.0 Total 9119049310404127165400 03/27/2218:42",超市
F:\ai\ocr_recognition\dataset\train\images\en_1013.jpg,DOLLAR TREE Store#4931 5499 SWilliamson Blvd QTY PRICE TOTAL DESCRIPTION $25.0 $25.0 1 bandeaukini $21.0 $21.0 1 rush guard $46.0 Total 9119049310404127155400 03/29/2209:39,超市
F:\ai\ocr_recognition\dataset\train\images\en_1014.jpg,DOLLAR TREE Store#4931 5499S Williamson Blvd. QTY PRICE TOTAL DESCRIPTION $25.0 $25.0 1 one-piece $16.0 $16.0 1 tunic-cover up $10.0 $10.0 1 swim briefs $51.0 Total 9119049310404127155400 03/27/2211:37,购物 - 衣物
F:\ai\ocr_recognition\dataset\train\images\en_1015.jpg,DOLLARTREE Store#4931 DESCRIPTION QTY PRICE TOTAL string bikini 1 $25.0 $25.0 bandeaukini 1 $25.0 $25.0 monokini $25.0 $25.0 1 Total $75.0 We will gladly exchange any unopened item with original receipt.We do not offer refunds 9119049310404127155400 03/28/2218:51,其他
F:\ai\ocr_recognition\dataset\train\images\en_1016.jpg,DOLLAR TREE Store#4931 5499 S Williamson Blvd. QTY PRICE TOTAL DESCRIPTION $16.0 $16.0 pants-cover up 1 $25.0 $25.0 stirtini 1 $41.0 Total We will gladly exchange any unopened item with original receipt. We do not offer refunds 9119049310404127155400 03/30/2209:08,购物 - 衣物
F:\ai\ocr_recognition\dataset\train\images\en_1017.jpg,DOLLARTREE Store# 4931 5499S WilliamsonBlvd. DESCRIPTION QTY PRICE TOTAL $25.0 $25.0 one-piece 1 S16.0 1 $16.0 tunic-cover up $21.0 S21.0 drag suits 1 $62.0 Total We will gladly exchange any unopened item with original receipt.We do not offer refunds 9119049310404127155400 03/27/2211:23,购物 - 衣物
F:\ai\ocr_recognition\dataset\train\images\en_1018.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/26/22,11:56AM Bacon and egg Twisty 1.0 $3.80 Pasta Peach n'Blueberry 1.0 $6.80 Yogurt SUBTOTAL: $10.60 TAX: $1.97 TOTAL: $12.57 PAID: $12.57 PAYMENTS $12.57 -Cashier:Manager M Have a nice meal",餐饮 - 西餐
F:\ai\ocr_recognition\dataset\train\images\en_1019.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/27/22,10:44AM 1.0 Grilled Chicken Burger $7.80 4.0 Pie $8.00 $4.40 1.0 Iced Blead Tea $20.20 SUBTOTAL: $2.16 TAX: $22.36 TOTAL: $22.36 PAID: PAYMENTS $22.36 -Cashier: Manager M Have a nice meal",餐饮 - 快餐
F:\ai\ocr_recognition\dataset\train\images\en_1020.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/21/22,10:57AM Bacon and egg Twisty 1.0 Pasta $3.80 1.0 Grilled Chicken Salad $4.80 SUBTOTAL: $8.60 TAX: $0.57 TOTAL: $9.17 PAID: $9.17 PAYMENTS $9.17 -Cashier:Manager M Have a nice meal",餐饮 - 西餐
F:\ai\ocr_recognition\dataset\train\images\en_1021.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/15/22,10:42AM 1.0 Grilled Chicken Burger $7.80 1.0 French Fries $3.70 1.0 Sundae $3.40 SUBTOTAL: $14.90 TAX: $1.19 TOTAL: $16.09 $16.09 PAID: PAYMENTS $16.09 -Cashier:Manager M Have a nice meal",餐饮 - 快餐
F:\ai\ocr_recognition\dataset\train\images\en_1022.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/28/22,10:56AM 2.0 Shakes $7.60 1.0 McFurry $5.20 SUBTOTAL: $12.80 $1.13 TAX: $13.93 TOTAL: $13.93 PAID: PAYMENTS $13.93 -Cashier: Manager M Have a nice meal",其他
F:\ai\ocr_recognition\dataset\train\images\en_1023.jpg,"Bluebird Fish Camp 102N Farragut Ave Device: 3/24/22,10:26AM $8.60 1.0 Double Cheese Burger $7.80 1.0 Grilled Chicken Burger $5.20 1.0 Green Salad $21.60 SUBTOTAL: $2.74 TAX: $24.34 TOTAL: $24.34 PAID: PAYMENTS $24.34 -Cashier:Manager M Have a nice meal",餐饮 - 快餐
F:\ai\ocr_recognition\dataset\train\images\en_1024.jpg,"Bluebird Fish Camp 102N Farragut Ave Device: 3/28/22,10:44AM Big Mac $10.40 1.0 $7.80 1.0 Cheese Burger $18.20 SUBTOTAL: $2.37 TAX: $20.57 TOTAL: PAID: $20.57 PAYMENTS $20.57 -Cashier:Manager M Have a nice meal",餐饮 - 快餐
F:\ai\ocr_recognition\dataset\train\images\en_1025.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/23/22,10:59AM 1.0 Cheese Burger $7.80 1.0 Double Cheese Burger $8.60 Blead Coffee $4.60 1.0 SUBTOTAL: $21.00 TAX: $2.13 $23.13 TOTAL: $23.13 PAID: PAYMENTS $23.13 -Cashier: Manager M Have a nice meal",餐饮 - 快餐
F:\ai\ocr_recognition\dataset\train\images\en_1026.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/14/22,10:57AM Bacon and egg Twisty $3.80 1.0 Pasta Grilled Chicken Salad $4.80 1.0 Fresh Pineapple $8.00 2.0 $16.60 SUBTOTAL: $1.87 TAX: $18.47 TOTAL: PAID: $18.47 PAYMENTS $18.47 -Cashier:Manager M Have a nice meal",餐饮 - 西餐
F:\ai\ocr_recognition\dataset\train\images\en_1027.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/10/22,1 11:50AM $7.80 1.0 Cheese Burger Big Mac $10.40 1.0 Bonaqua Mineralized $8.40 2.0 Water $26.60 SUBTOTAL: $1.59 TAX: $28.19 TOTAL: $28.19 PAID: PAYMENTS $28.19 -Cashier:Manager M Have a nice meal",餐饮 - 快餐
F:\ai\ocr_recognition\dataset\train\images\en_1028.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/26/22,11:06AM 1.0 French Fries $3.70 Bacon and egg Twisty 1.0 $3.80 Pasta $7.50 SUBTOTAL: $0.67 TAX: $8.17 TOTAL: $8.17 PAID: PAYMENTS $8.17 -Cashier: Manager M Have a nice meal",餐饮 - 快餐
F:\ai\ocr_recognition\dataset\train\images\en_1029.jpg,"Bluebird Fish Camp 102N Farragut Ave Device: 3/26/22,11:41AM 1.0 Grilled Chicken Salad $4.80 Peach n'Bluebery $6.80 1.0 Yogurt $7.60 SUBTOTAL: $1.02 TAX: $8.62 TOTAL: $8.62 PAID: PAYMENTS $8.62 -Cashier:Manager M Have a nice meal",餐饮 - 西餐
F:\ai\ocr_recognition\dataset\train\images\en_1030.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/24/22,10:44AM Bacon and egg Twisty 1.0 $3.80 Pasta McCrispy Chicken Filet 1.0 $7.80 Burger 1.0 French Fries $3.70 SUBTOTAL: $15.30 TAX: $1.99 TOTAL: $17.29 PAID: $17.29 PAYMENTS $17.29 -Cashier: Manager M Have a nice meal",餐饮 - 快餐
F:\ai\ocr_recognition\dataset\train\images\en_1031.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/25/22,11:02AM Grilled Chicken 1.0 $3.80 Flatbread 1.0 Korean Beef Flatbread $6.20 2.0 Corn Cup $6.40 SUBTOTAL: $16.40 TAX: $1.32 TOTAL: $17.72 $17.72 PAID: PAYMENTS $17.72 -Cashier:Manager M Have a nice meal",其他
F:\ai\ocr_recognition\dataset\train\images\en_1032.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/15/22,11:03AM 1.0 Cheese Burger $7.80 1.0 French Fries $3.70 SUBTOTAL: $11.50 TAX: $1.49 TOTAL: $12.99 $12.99 PAID: PAYMENTS $12.99 -Cashier:Manager M Have a nice meal",餐饮 - 快餐
F:\ai\ocr_recognition\dataset\train\images\en_1033.jpg,"Bluebird Fish Camp 102N Farragut Ave Device: 3/27/22,11:06AM $5.50 1.0 Rice Burger Bonaqua Mineralized $4.20 1.0 Water $9.70 SUBTOTAL: $1.23 TAX: $10.93 TOTAL: $10.93 PAID: PAYMENTS $10.93 -Cashier:Manager M Have a nice meal",餐饮 - 快餐
F:\ai\ocr_recognition\dataset\train\images\en_1034.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/24/22,11:44AM Grilled Chicken 1.0 $3.80 Flatbread 1.0 Con Cup $3.20 Peach n′Blueberry 1.0 $6.80 Yogurt $13.80 SUBTOTAL: $1.64 TAX: $15.44 TOTAL: $15.44 PAID: PAYMENTS $15.44 -Cashier: Manager M Have a nice meal",其他
F:\ai\ocr_recognition\dataset\train\images\en_1035.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/16/22,11:26AM 1.0 French Fries $3.70 $10.60 2.0 Muffin $9.20 2.0 Brew Tea $23.50 SUBTOTAL: $1.49 TAX: $24.99 TOTAL: $24.99 PAID: PAYMENTS $24.99 -Cashier:Manager M Have a nice meal",餐饮 - 快餐
F:\ai\ocr_recognition\dataset\train\images\en_1036.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/18/22,11:18AM 1.0 Filet-O-Fish $7.40 1.0 French Fries $3.70 SUBTOTAL: $11.10 TAX: $1.39 TOTAL: $12.49 PAID: $12.49 PAYMENTS $12.49 -Cashier: Manager M Have a nice meal",餐饮 - 快餐
F:\ai\ocr_recognition\dataset\train\images\en_1037.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/25/22,11:38AM 1.0 Grilled Chicken Burger $7.80 McCrispy Chicken Filet 1.0 $7.80 Burger 1.0 Brew Tea $4.60 $20.20 SUBTOTAL: TAX: $2.14 $22.34 TOTAL: $22.34 PAID: PAYMENTS $22.34 -Cashier: Manager M Have a nice meal",餐饮 - 快餐
F:\ai\ocr_recognition\dataset\train\images\en_1038.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/20/22,10:14AM $5.50 1.0 Rice Burger $3.80 1.0 Salad $6.20 1.0 Raisim Scone $15.50 $1.72 SUBTOTAL: $17.22 TAX: TOTAL: $17.22 PAID: PAYMENTS $17.22 -Cashier:Manager M Have a nice meal",餐饮 - 快餐
F:\ai\ocr_recognition\dataset\train\images\en_1039.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/28/22,11:16AM 1.0 Dip Cone $4.40 1.0 Raisim Scone $6.20 SUBTOTAL: $10.60 TAX: $1.15 $11.75 TOTAL: $11.75 PAID: PAYMENTS $11.75 -Cashier: Manager M Have a nice meal",其他
F:\ai\ocr_recognition\dataset\train\images\en_1040.jpg,"Bluebird Fish Camp 102N Farragut Ave Device: 3/24/22,10:44AM 1.0 Cheese Burger $7.80 1.0 Korean Beef Flatbread $6.20 2.0 Dip Cone $8.80 SUBTOTAL: $22.80 TAX: $2.49 TOTAL: $25.29 $25.29 PAID: PAYMENTS $25.29 -Cashier:Manager M Have a nice meal",餐饮 - 快餐
F:\ai\ocr_recognition\dataset\train\images\en_1041.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/19/22,11:14AM $6.20 Korean Beef Flatbread 1.0 Peach n′ Blueberry $6.80 1.0 Yogurt $7.80 Grilled Chicken Burger 1.0 $20.80 SUBTOTAL: $2.46 TAX: $23.26 TOTAL: $23.26 PAID: PAYMENTS $23.26 -Cashier: Manager M Have a nice meal",餐饮 - 快餐
F:\ai\ocr_recognition\dataset\train\images\en_1042.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/28/22,10:58AM $6.20 Raisim Scone 1.0 $7.80 Crispy Chicken Filet 1.0 Burger $14.00 $2.46 SUBTOTAL: $16.46 TAX: TOTAL: $16.46 PAID: PAYMENTS $16.46 -Cashier: Manager M Have a nice meal",餐饮 - 快餐
F:\ai\ocr_recognition\dataset\train\images\en_1043.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/26/22,12:18AM Peach n'Blueberry 1.0 $6.80 1.0 Double Cheese Burger $8.60 1.0 Filet-O-Fish $7.40 $22.80 SUBTOTAL: $2.01 TAX: $24.81 TOTAL: $24.81 PAID: PAYMENTS $24.81 -Cashier: Manager M Have a nice meal",餐饮 - 快餐
F:\ai\ocr_recognition\dataset\train\images\en_1044.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/17/22,11:59AM 1.0 Fresh Pineapple $4.00 1.0 Corn Cup $3.20 $7.20 SUBTOTAL: TAX: $1.21 $8.41 TOTAL: $8.41 PAID: PAYMENTS $8.41 -Cashier:Manager M Have a nice meal",其他
F:\ai\ocr_recognition\dataset\train\images\en_1045.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/16/22,11:23AM 1.0 French Fries $3.70 Bacon and egg Twisty 1.0 $3.80 Pasta 1.0 Raisim Scone $6.20 SUBTOTAL: $13.70 TAX: $1.45 TOTAL: $15.15 PAID: $15.15 PAYMENTS $15.15 -Cashier:Manager M Have a nice meal",餐饮 - 快餐
F:\ai\ocr_recognition\dataset\train\images\en_1046.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/17/22,11:26AM 1.0 Double Cheese Burger $8.60 1.0 Rice Burger $5.50 Bacon and egg Twisty 1.0 $3.80 Pasta SUBTOTAL: $17.90 TAX: $2.01 TOTAL: $19.91 PAID: $19.91 PAYMENTS $19.91 Cashier:Manager M Have a nice meal",餐饮 - 快餐
F:\ai\ocr_recognition\dataset\train\images\en_1047.jpg,"Bluebird Fish Camp 102 N Farragut Ave Device: 3/27/22,10:46AM $4.40 1.0 Dip Cone Grilled Chicken Salad $4.80 1.0 $9.20 SUBTOTAL: $1.59 TAX: $10.79 TOTAL: $10.79 PAID: PAYMENTS $10.79 -Cashier:Manager M Have a nice meal",餐饮 - 西餐
F:\ai\ocr_recognition\dataset\train\images\en_1048.jpg,GUEST CHECK Butcher Boy Pte Ltd SingaporeSingapore089138 Emily-03/16/21 05:38PM TABLE:Out1 Dish/Set Menu Amount 1x Iberico Pork Belly $ 32.00 $ 12.00 1xPaoruda 1xCrispy Chicken $35.00 $79.00 SubTotal $7.90 SVC $ 86.90 TOTAL Thankyou!,其他
F:\ai\ocr_recognition\dataset\train\images\en_1049.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-10/23/21 07:46PM TABLE:Out1 Dish/Set Menu Amount 1xDuck Banh Mi $18.00 SubTotal $18.00 SVC $1.80 TOTAL $19.80 Thankyou!",其他
F:\ai\ocr_recognition\dataset\train\images\en_1050.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-09/08/21 08:35PM TABLE:Out1 Dish/Set Menu Amount 1x Cuttlefish roll $15.00 1 xSteam pot chicken $21.00 SubTotal $36.00 SVC $3.60 $39.60 TOTAL Thankyou!",其他
F:\ai\ocr_recognition\dataset\train\images\en_1051.jpg,GUEST CHECK Butcher Boy Pte Ltd Emily-02/14/21 06:48PM TABLE:Out1 Dish/Set Menu Amount $6.00 1x Crispy Fish Skin $15.00 1x Cuttlefish roll $18.00 1xDuck Banh Mi SubTotal $39.00 SVC $3.90 TOTAL $42.90 Thankyou!,其他
F:\ai\ocr_recognition\dataset\train\images\en_1052.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-03/22/21 05:56PM TABLE:Out1 Dish/Set Menu Amount 1xDuck Banh Mi $18.00 1xPaoruda $12.00 1x Crispy Chicken $35.00 SubTotal $ 65.00 SVC $6.50 TOTAL $71.50 Thankyou!",其他
F:\ai\ocr_recognition\dataset\train\images\en_1053.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore089138 Emily-10/15/2107:06PM TABLE:Out1 Dish/Set Menu Amount $18.00 1x Duck Banh Mi $6.00 1x Crispy Fish Skin $24.00 SubTotal $2.40 SVC $26.40 TOTAL Thankyou!",其他
F:\ai\ocr_recognition\dataset\train\images\en_1054.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-02/05/21 06:32PM TABLE:Out1 Dish/Set Menu Amount 1x Steam pot chicken $21.00 1x Cuttlefish roll $15.00 1x DuckBanh Mi $18.00 SubTotal $54.00 SVC $5.40 TOTAL $59.40 Thankyou!",其他
F:\ai\ocr_recognition\dataset\train\images\en_1055.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-01/28/21 08:37PM TABLE:Out1 Dish/Set Menu Amount $21.00 1xSteampot chicken 1x Cuttlefish roll $15.00 1xPaoruda $12.00 $48.00 SubTotal SVC $4.80 TOTAL $52.80 Thankyou!",其他
F:\ai\ocr_recognition\dataset\train\images\en_1056.jpg,GUEST CHECK Butcher Boy Pte Ltd Emily-09/23/21 08:05PM TABLE:Out1 Dish/Set Menu Amount 1xDuckBanh Mi $18.00 1xSteam pot chicken $21.00 $39.00 SubTotal $3.90 SVC $ 42.90 TOTAL Thankyou!,其他
F:\ai\ocr_recognition\dataset\train\images\en_1057.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-01/15/21 08:28PM TABLE:Out1 Dish/Set Menu Amount 1x Chocolate Textures $ 12.00 $15.00 1x Cuttlefish roll $ 12.00 1xPaoruda $39.00 SubTotal $3.90 SVC $ 42.90 TOTAL Thankyou!",餐饮 - 甜点
F:\ai\ocr_recognition\dataset\train\images\en_1058.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore089138 Emily-06/21/21 06:58PM TABLE:Out1 Dish/Set Menu Amount $12.00 1xPaoruda 1x Iberico Pork Belly $32.00 $12.00 1x Chocolate Textures $56.00 SubTotal $5.60 SVC $61.60 TOTAL Thankyou!",餐饮 - 甜点
F:\ai\ocr_recognition\dataset\train\images\en_1059.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-03/04/210 05:21PM TABLE:Out1 Dish/Set Menu Amount $32.00 1x lberico Pork Belly $ 15.00 1x Cuttlefish roll $21.00 1x Steam pot chicken $ 68.00 SubTotal $6.80 SVC $74.80 TOTAL Thankyou!",其他
F:\ai\ocr_recognition\dataset\train\images\en_1060.jpg,GUEST CHECK Butcher Boy Pte Ltd Emily-04/06/21 08:56PM TABLE:Out1 Dish/Set Menu Amount $12.00 1xChocolate Textures 1x lberico Pork Belly $32.00 $35.00 1xCrispy Chicken SubTotal $ 79.00 SVC $7.90 TOTAL $86.90 Thankyou!,其他
F:\ai\ocr_recognition\dataset\train\images\en_1061.jpg,GUEST CHECK Butcher Boy Pte Ltd Emily-09/15/21 08:51PM TABLE:Out1 Dish/Set Menu Amount $6.00 1 x Crispy Fish Skin $21.00 1 x Steam pot chicken $ 27.00 SubTotal $2.70 SVC $29.70 TOTAL Thankyou!,其他
F:\ai\ocr_recognition\dataset\train\images\en_1062.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-01/08/21 08:26PM TABLE:Out1 Dish/Set Menu Amount 1x Chocolate Textures $12.00 1x Crispy Fish Skin $6.00 1xDuckBanh Mi $18.00 1x Iberico PorkBelly $32.00 SubTotal $ 68.00 SVC $6.80 $74.80 TOTAL Thankyou!",餐饮 - 甜点
F:\ai\ocr_recognition\dataset\train\images\en_1063.jpg,"@ # 2 GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore089138 Emily-08/19/21 08:29PM TABLE:Out1 Dish/Set Menu Amount 1xPaoruda $12.00 1xSteam pot chicken $21.00 SubTotal $33.00 $3.30 SVC $36.30 TOTAL Thankyou!",其他
F:\ai\ocr_recognition\dataset\train\images\en_1064.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-02/24/21 06:21PM TABLE:Out1 Dish/Set Menu Amount 1x lberico Pork Belly $32.00 1x Cuttlefish roll $15.00 SubTotal $47.00 SVC $4.70 TOTAL $51.70 Thankyou!",其他
F:\ai\ocr_recognition\dataset\train\images\en_1065.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-04/27/21 08:58PM TABLE:Out1 Dish/Set Menu Amount 1xCrispy Chicken $35.00 1x lberico Pork Belly $32.00 1x Duck Banh Mi $18.00 SubTotal $85.00 SVC $8.50 TOTAL $ 93.50 Thankyou!",其他
F:\ai\ocr_recognition\dataset\train\images\en_1066.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-07/07/21 06:01PM TABLE:Out1 Dish/Set Menu Amount $12.00 1xPaoruda 1x lberico PorkBelly $32.00 1x Steam pot chicken $21.00 $65.00 SubTotal $6.50 SVC $71.50 TOTAL Thankyou!",其他
F:\ai\ocr_recognition\dataset\train\images\en_1067.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,ingapore089138 Emily-06/09/21 06:15PM TABLE:Out1 Dish/Set Menu Amount 1xSteam pot chicken $ 21.00 1x Crispy Fish Skin $ 6.00 1x Chocolate Textures $ 12.00 SubTotal $39.00 SVC $3.90 TOTAY Thankyou!",餐饮 - 甜点
F:\ai\ocr_recognition\dataset\train\images\en_1068.jpg,"Alt PgDn GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-12/21/21 06:58PM TABLE:Out1 Dish/Set Menu Amount 1 x Chocolate Textures $12.00 1x lberico Pork Belly $32.00 SubTotal $44.00 SVC $4.40 NVIDIA TOTAL $48.40 GEFORCE Thankyou!",餐饮 - 甜点
F:\ai\ocr_recognition\dataset\train\images\en_1069.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-05/01/21 08:03PM TABLE:Out1 Dish/Set tMenu Amount 1xCrispy Chicken $35.00 1x Cuttlefish roll $ 15.00 1x Duck Banh Mi $ 18.00 SubTotal $68.00 SVC $6.80 TOTAL $ 74.80 Thankyou!",其他
F:\ai\ocr_recognition\dataset\train\images\en_1070.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore089138 Emily-07/12/21 06:14PM TABLE:Out1 Dish/Set Menu Amount 1xPaoruda $12.00 1x Duck Banh Mi $18.00 1x Chocolate Textures $12.00 SubTotal $42.00 SVC $4.20 TOTAL $46.20 Thankyou!",餐饮 - 甜点
F:\ai\ocr_recognition\dataset\train\images\en_1071.jpg,GUEST CHECK Butcher Boy Pte Ltd Emily-0e/18/21 06:32PM TABLE:Out1 Dish/Set Menu Amount 1xSteam pot chicker $21.00 1x Iberico Pork Belly $32.00 1x Chocolate Textures $ 12.00 SubTotal $65.00 SVC $6.50 $ 71.50 TOTAL Thankyou!,餐饮 - 甜点
F:\ai\ocr_recognition\dataset\train\images\en_1072.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-11/19/21 06:51PM TABLE:Out1 Dish/Set Menu Amount 1xPaoruda $12.00 1x lberico Pork Belly $32.00 $44.00 SubTotal NVIDIA' $4.40 GEFORC SVC $48.40 TOTAL Thankyou!",其他
F:\ai\ocr_recognition\dataset\train\images\en_1073.jpg,GUEST CHECK Butcher Boy Pte Ltd Singaporengapore08918 Emily-07/24/21 06:29PM TABLE:Out1 Dish/Set Menu Amount 1xPaoruda $12.00 1xDuck Banh Mi $18.00 SubTotal $30.00 SVC $3.00 TOTAL $33.00 Thankyou!,其他
F:\ai\ocr_recognition\dataset\train\images\en_1074.jpg,"GUEST CHECK Butcher Boy Pte Ltd Singapore,Singapore 089138 Emily-05/16/21 08:56PM TABLE:Out1 Dish/Set Menu Amount 1xSteam pot chicken $21.00 1x Cuttlefish roll $15.00 1xDuck Banh Mi $18.00 SubTotal $54.00 SVC $5.40 TOTAL $59.40 Thankyou!",其他
